순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,토북 베이커리카페,4.3,43건,276,부산 강서구 낙동남로 526-1
2,벨렘351,3.9,15건,71,부산 강서구 대저로299번길 6 1동 1층
3,꿈꾸는요리사 국제신도시점,3.7,6건,26,부산 강서구 명지국제8로 230 산양타워 101~103호
4,로다로지,4.5,15건,84,부산 강서구 명지국제12로19번길 20-10
5,꿈꾸는요리사 오션시티점,3.7,9건,15,부산 강서구 명지오션시티4로 62
6,김덕규과자점 토북점,4.5,2건,9,부산 강서구 낙동남로 526-1
7,꿈꾸는요리사 신호본점,5.0,2건,2,부산 강서구 신호산단4로 54
8,진저하우스,5.0,6건,72,부산 강서구 명지국제5로148번길 5-1 1층
9,삼송빵집 스타필드시티명지점,5.0,1건,33,부산 강서구 명지국제6로 168 1층 1137호
10,파리바게뜨 명지국제신도시점,5.0,1건,1,부산 강서구 명지국제8로 251
11,파리바게뜨 부산명지더샵점,3.7,3건,4,부산 강서구 명지국제2로 41 1층 147호
12,뚜레쥬르 부산명지더샵점,3.8,4건,0,부산 강서구 명지국제7로 37
13,하라케이크 부산점,4.3,8건,49,부산 강서구 명지국제6로302번길 11-6 하라빌딩 1층
14,브라이트베이커리,5.0,4건,8,부산 강서구 공항로811번길 22 1층
15,복호두 부산명지점,5.0,2건,14,부산 강서구 명지국제8로 257 티에스스퀘어 1층 103호
16,뚜레쥬르 명지오션시티점,3.7,3건,0,부산 강서구 명지오션시티5로 12
17,파리바게뜨 명지퀸덤점,3.7,6건,1,부산 강서구 명지오션시티10로 16 링컨타운 상가동 222동 256~260호
18,진선진미베이커리,5.0,1건,26,부산 강서구 범방3로 100
19,파리바게뜨 명지국제협성점,3.0,2건,0,"부산 강서구 명지국제11로 25 동명빌딩 101,102호"
20,하나제과점,5.0,1건,1,부산 강서구 신호산단5로 47-21 1층
21,아틀리에포도,0.0,0건,27,부산 강서구 명지국제12로 73 1층
22,베이커스245,5.0,5건,8,부산 강서구 명지국제8로 245 명지뉴타워 106호
23,파리바게뜨 부산신호점,5.0,1건,0,부산 강서구 신호산단2로 41 1층
24,파리바게뜨 지사과학단지점,5.0,1건,0,부산 강서구 과학산단로306번길 10
25,NK면역제빵소,0.0,0건,0,부산 강서구 명지국제6로 254
26,달콤왕가탕후루 명지오션시티점,5.0,2건,1,부산 강서구 명지오션시티3로 9
27,청춘당찹쌀꽈배기 명지국제점,0.0,0건,0,부산 강서구 명지국제8로 229
28,제과점빵,5.0,5건,43,부산 북구 구포만세길 116 1층
29,부산단팥빵,0.0,0건,4,부산 강서구 명지국제2로 27 대산골드스퀘어 1층 108호
30,손수케이크 러비더비,4.0,1건,4,부산 강서구 명지오션시티4로 60 골든프라자 3층
31,파리바게뜨 부산덕천점,2.0,4건,10,부산 북구 만덕대로 16 1층
32,마블스퀘어 명지점,5.0,2건,10,부산 강서구 명지국제8로 243 미주프라자 1층 107호
33,빵굽는남자,3.5,2건,15,부산 강서구 명지오션시티10로 16 링컨타운상가 246-3호
34,서무결베이커리,5.0,5건,5,부산 북구 백양대로 1017 한성빌딩 1층
35,파리바게뜨 부산강서구청점,0.0,0건,0,부산 강서구 대저로 278
36,세자매케이크,0.0,0건,31,부산 강서구 명지국제5로 141 606호
37,코코호도 명지국제중앙점,0.0,0건,1,부산 강서구 명지국제8로 230 산양타워 1층 110호
38,별난찹쌀꽈배기,4.3,3건,2,부산 강서구 명지오션시티3로 23 대주빌딩 1층 101호
39,달콤왕가탕후루 신호점,0.0,0건,2,부산 강서구 신호산단2로 53
40,파티시에 장,5.0,2건,4,부산 강서구 명지국제2로 41 상가 156호
41,뚜레쥬르 부산덕천로터리점,4.0,5건,2,부산 북구 백양대로 1204
42,짱스마카롱,3.5,2건,3,부산 강서구 명지오션시티11로 22 명지두산위브포세이돈 117-1동 B104호
43,아미,4.8,5건,1,부산 강서구 명지국제8로 257 1층
44,앤티앤스프레즐 명지플러스시네마점,5.0,1건,4,부산 강서구 명지국제8로10번길 38 7층 728호
45,뚜레쥬르 서부산유통단지점,2.3,4건,1,부산 강서구 유통단지1로49번길 6
46,새라케이크,0.0,0건,15,부산 강서구 명지국제5로 90 중흥s클래스 에듀오션상가 1층
47,빵긋한하루,0.0,0건,7,부산 강서구 명지국제6로 228
48,동백베이커리,4.7,3건,41,부산 사상구 사상로 475-14 1층
49,호밀호두 명지점,4.0,1건,2,부산 강서구 명지오션시티10로 130 1층
50,파파스찹쌀꽈배기,0.0,0건,5,부산 강서구 명지국제5로 141
51,NK이뮨베이커리카페 부산신호점,0.0,0건,1,부산 강서구 신호산단5로 43 1층
52,지효케이크,0.0,0건,3,부산 강서구 명지국제2로 16 부산명지제나우스오피스텔 209호
53,13월베이커리카페,0.0,0건,1,부산 강서구 명지국제3로 97 상가 D108호
54,우니카롱,5.0,1건,1,부산 강서구 명지국제6로242번길 14-2
