순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,이흥용과자점 구서직영점,3.5,13건,35,부산 금정구 금샘로 377
2,소사베이커리,4.3,15건,119,부산 금정구 금정로119번길 14 1층
3,이흥용과자점 부산대직영점,4.3,30건,38,부산 금정구 부산대학로63번길 30
4,옵스 구서점,4.0,9건,7,부산 금정구 금강로 477 구서골드2상가 105호
5,모구모구베이커리 장전,3.9,12건,51,부산 금정구 부산대학로64번길 130 1층
6,쿠루미과자점,4.6,55건,210,부산 동래구 온천천로 71-1
7,이대명과 본사,4.5,2건,6,부산 금정구 금사로 144
8,콩방,4.5,10건,21,부산 금정구 상현로 66
9,몽레브베이커리,4.7,13건,14,부산 금정구 금강로 209
10,수앙,4.9,11건,17,부산 금정구 금강로391번길 14 1층
11,버터레코드,3.9,9건,139,부산 금정구 금정로60번길 46 1층
12,라라브레드 부산대점,4.7,10건,71,부산 금정구 장전온천천로 73
13,제빵소작,5.0,22건,22,부산 금정구 범어사로 426 지하1층
14,노랑고래 구서점,4.8,4건,7,부산 금정구 구서로 30 1층
15,보리종파티세리,4.8,13건,32,부산 금정구 중앙대로 1667 삼신빌딩 1층
16,201과자점,4.3,9건,8,부산 금정구 부곡로 41
17,어스베이킹,5.0,7건,31,부산 금정구 금정로60번길 13 1층
18,브리첼과자점,5.0,5건,0,부산 금정구 남산로37번길 40
19,파리바게뜨 부산남산점,1.8,6건,1,부산 금정구 금강로647번길 2
20,파리바게뜨 부산대점,4.0,6건,0,부산 금정구 부산대학로 58
21,뚜레쥬르 부산대학교점,3.7,7건,3,부산 금정구 금정로 72
22,뚜레쥬르 부산구서롯데캐슬점,4.3,4건,2,부산 금정구 금강로 479
23,더기베이글,3.1,10건,85,부산 금정구 부산대학로64번길 14 1층
24,이대명과 구서점,2.6,9건,1,부산 금정구 금샘로 389
25,와플대학 부산대캠퍼스,2.8,9건,15,부산 금정구 부산대학로 23 태영빌딩 1층
26,홍쌀빵,3.8,4건,53,부산 금정구 금샘로 488
27,보리종파티세리 장전래미안점,4.9,14건,14,부산 금정구 식물원로 11 1층
28,호자베이커리,4.7,14건,18,부산 금정구 금강로321번길 32
29,아띠몽 부산대점,3.7,7건,21,부산 금정구 부산대학로 45 1층
30,파리바게뜨 구서역점,5.0,2건,1,부산 금정구 구서로 9
31,파리바게뜨 부산장전점,3.0,9건,0,부산 금정구 금강로335번길 23
32,정항우케익 온천점,4.7,3건,0,부산 금정구 온천장로125번길 28 정하우케익
33,파리바게뜨 부곡뉴그린점,4.0,1건,0,부산 금정구 서동로 73
34,쿠스케,5.0,9건,6,부산 금정구 부산대학로49번길 33-3 1층
35,옛날그빵집,4.0,20건,28,부산 동래구 명안로 38-1 1층
36,파리바게뜨 범어사역점,1.0,3건,1,부산 금정구 중앙대로 2091 1층
37,구자윤과자점 연산점,3.5,13건,30,부산 연제구 쌍미천로156번길 1
38,파리바게뜨 금정부곡점,4.5,4건,0,부산 금정구 부곡로 110
39,보느파티쓰리,4.3,51건,143,부산 연제구 교대로 7 2층
40,뚜레쥬르 부산대푸르지오점,5.0,1건,1,부산 금정구 중앙대로 1617-12 부곡푸르지오 1층
41,올베이크,5.0,3건,20,부산 금정구 부산대학로64번길 94-8 네버랜드 306동 1층
42,세이지케이크,4.3,4건,13,부산 금정구 금정로60번길 27-8 2층
43,더빵,3.7,3건,9,부산 동래구 차밭골로 13 온천메디칼빌딩 1층 101호
44,파리바게뜨 부산구서점,3.0,4건,0,부산 금정구 금강로565번길 15
45,고준희베이커리,5.0,2건,8,부산 금정구 두실로37번길 43 1층
46,파리바게뜨 부산대역점,4.0,2건,1,부산 금정구 중앙대로 1617-9
47,밀당,4.9,8건,1,부산 금정구 금강로 336
48,우네베이커리,5.0,2건,35,부산 금정구 장전로12번길 18-3 1층
49,브레드빈,5.0,1건,0,부산 금정구 중앙대로 2097
50,더크로와상,4.3,7건,24,부산 금정구 부산대학로 60-1 1층
51,이흥용과자점 사직직영점,3.7,18건,44,부산 연제구 아시아드대로 90
52,슈가파티케익,0.0,0건,2,부산 금정구 금샘로 551 2층
53,부부빵집,,(30),4,부산 연제구 명륜로 16 1층
54,송스베이커리,4.3,4건,18,부산 금정구 수림로 26 1층
55,동래옛날팥빙수 남산점,5.0,2건,1,부산 금정구 팔송로 19-1
56,파리바게뜨 두실선경점,4.0,2건,0,부산 금정구 중앙대로 1911
57,앤티앤스프레즐 부산대점,0.0,0건,1,부산 금정구 부산대학로 33-4 1층
58,밀한줌 온천천점,4.2,22건,24,부산 동래구 온천천로471번길 7 104호
59,느루베이커리,3.7,3건,2,부산 금정구 구서로 11
60,브레드빈,4.0,4건,1,부산 금정구 서부곡로 2
61,데일리팡 장전점,5.0,1건,2,부산 금정구 중앙대로1719번길 47 골든웨딩프라자 1층
62,사오,3.0,3건,15,부산 금정구 금정로60번길 31 1층
63,하마하마베이크하우스,4.9,8건,100,부산 금정구 수림로85번길 50-1 1층
64,정항우케익 부산대점,0.0,0건,0,부산 금정구 금강로 280
65,빵공장다옴,4.8,5건,1,부산 금정구 장전로 16
