순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,카페공지,4.1,24건,270,부산 기장군 기장읍 기장해안로 509
2,해월당 연화점,5.0,1건,47,부산 기장군 기장읍 연화1길 33
3,박현철베이커리,4.6,5건,115,부산 기장군 정관읍 모전1길 36 1층
4,순쌀빵,3.3,11건,41,"부산 기장군 정관읍 구연로 22 108,201호"
5,신카스테라,4.0,10건,62,부산 기장군 기장읍 기장해안로 58 1층
6,해피베이글데이,4.7,3건,138,부산 기장군 기장읍 공수해안길 13-2
7,달콤왕가탕후루 정관점,5.0,1건,8,부산 기장군 정관읍 정관로 563
8,소담베이커리,4.6,5건,2,부산 기장군 기장읍 차성로288번길 43
9,정재석과자점,4.4,5건,17,부산 기장군 정관읍 정관로 569
10,파리바게뜨 정관중앙점,0.0,0건,1,부산 기장군 정관읍 정관로 581 1층
11,파리바게뜨 일광신도시점,5.0,1건,3,부산 기장군 일광읍 해빛로 17
12,파리바게뜨 기장대청점,5.0,1건,1,부산 기장군 기장읍 대청로 28
13,원브레드,5.0,1건,17,부산 기장군 기장읍 대청로35번길 52
14,겐츠베이커리 동부산점,4.4,5건,1,부산 기장군 기장읍 기장해안로 147 1층
15,파리바게뜨 부산기장점,1.0,1건,0,부산 기장군 기장읍 읍내로 107-1
16,온정제과,5.0,1건,4,부산 기장군 정관읍 매학용수로 20 1층
17,뚜레쥬르 기장교리점,5.0,1건,0,부산 기장군 기장읍 차성로 436
18,뚜레쥬르 부산일광신도시점,0.0,0건,1,부산 기장군 일광읍 해빛2로 21 e편한세상일광아파트 상가동 105호
19,미트케이크,0.0,0건,2,부산 기장군 정관읍 모전3길 43 1층
20,달달한우리,5.0,1건,2,부산 기장군 기장읍 기장대로 563 현대아파트 A상가 107호
21,뚜레쥬르 정관방곡점,5.0,1건,1,부산 기장군 정관읍 정관덕산길 44
22,우리쌀왕호두,0.0,0건,0,부산 기장군 기장읍 무곡길 1
23,파리바게뜨 기장교리점,4.0,1건,1,부산 기장군 기장읍 차성동로 171
24,모구모구과자점 인 기장일광,5.0,1건,7,부산 기장군 일광읍 해빛6로 107-3 103호
25,파리바게뜨 정관EG점,0.0,0건,0,"부산 기장군 정관읍 정관로 393 롯데프라자 1층 103호, 104호"
26,뚜레쥬르 부산기장동부점,5.0,2건,1,부산 기장군 기장읍 차성동로 108 1층
27,행복한찹쌀꽈배기 일광점,4.0,4건,5,부산 기장군 일광읍 일광로 133 1층
