순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
2,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
3,태성당,4.1,18건,484,부산 동구 중앙대로296번길 3-5 1층
4,비엔씨제과 부산역점,3.0,25건,62,부산 동구 중앙대로 206 2층
5,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
6,루반도르 본점,2.7,24건,11,부산 동구 중앙대로 375-1
7,추억의육거리계란빵,5.0,11건,13,부산 동구 중앙대로251번길 50 1층
8,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
9,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
10,비엔씨 초량점,2.3,3건,7,부산 동구 중앙대로226번길 13-3
11,노베이커노베이커스,4.1,18건,258,부산 부산진구 전포대로 227 태백빌딩 1층
12,태성당,3.6,9건,2,부산 동구 중앙대로 206 2층
13,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
14,비엔씨 와이즈파크점,3.7,22건,15,부산 중구 광복로39번길 6 와이즈파크 1층
15,마이페이보릿쿠키,3.2,100건,764,부산 수영구 광남로 103
16,케이크랜드,3.5,2건,12,부산 동구 초량상로 126
17,빵의나라,3.4,10건,11,부산 동구 중앙대로221번길 22
18,보타닉아덴,3.9,18건,155,부산 남구 전포대로 133 IFC부산 지하1층
19,바게트제작소 전포점,3.7,36건,146,부산 부산진구 전포대로199번길 19 예원빌딩 1층 102호
20,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
21,덕선제과,4.7,15건,86,부산 부산진구 망양로 947-1
22,뚜레쥬르 부산진역점,2.8,6건,0,부산 동구 중앙대로 373
23,파리바게뜨 부산범일점,5.0,1건,2,부산 동구 범일로 106-1
24,아덴블랑제리 초량점,5.0,1건,71,부산 동구 홍곡중로 2 1층 1호
25,파리바게뜨 부산역점,2.3,6건,7,부산 동구 중앙대로 205 1층
26,파리크라상,0.0,0건,0,부산 동구 중앙대로 206 2층
27,꼼빠뇽베이커리,5.0,8건,19,부산 동구 범곡로28번길 16 1층
28,구르망베이커리,4.8,4건,5,부산 동구 고관로29번길 30 1층
29,뚜레쥬르 부산서면직영점,4.3,10건,22,부산 부산진구 중앙대로692번길 43
30,마켓크라샵,5.0,1건,47,부산 동구 중앙대로371번길 23 1층
31,파리바게뜨 부산진점,1.7,6건,1,부산 동구 중앙대로 371 늘푸른빌딩 1층
32,위파티 부산본점,4.6,5건,166,부산 부산진구 냉정로 166-1 1층
33,파리바게뜨 부산초량점,1.0,2건,0,부산 동구 초량상로 99 1층
34,스마일만나찹쌀꽈배기 수정점,5.0,2건,5,부산 동구 고관로 130-1 1층
35,빅토리아베이커리가든,3.2,5건,107,부산 서구 엄광산로 33
36,코코호도 부산동일타워점,3.0,2건,1,부산 동구 조방로 14 동일타워 1층 126호
37,파리바게뜨 부산수정점,0.0,0건,1,부산 동구 중앙대로349번길 48 1층
38,옵스 롯데백화점 광복점,4.2,20건,31,부산 중구 중앙대로 2 지하 1층
39,겐츠베이커리 본점,3.4,19건,45,부산 남구 분포로 111 LG메트로시티주1상가 1층
40,크라상점 부산서면점,4.9,17건,43,부산 부산진구 중앙대로680번길 19 1층
41,오븐의온도,4.6,46건,275,부산 부산진구 서전로38번길 43-13 101호
42,아치베이커리,4.5,22건,188,부산 중구 중구로44번길 19-1 1층
43,구자윤과자점 연산점,3.5,13건,30,부산 연제구 쌍미천로156번길 1
44,파리바게뜨 부산범일조방점,2.7,7건,0,부산 동구 범일로102번길 16-3
45,듀코비다이너,4.0,24건,276,부산 부산진구 전포대로199번길 9
46,빵장수단팥빵 부산범일점,0.0,0건,7,부산 동구 범일로 85
47,메트르아티정,3.6,44건,92,부산 수영구 남천동로22번길 21
48,베베케이크하우스,4.2,20건,114,부산 부산진구 서전로58번길 93 1층
49,우리동네호두과자점,4.0,2건,4,부산 동구 홍곡로 50
50,자이콥21,4.1,9건,162,"부산 부산진구 전포대로176번길 12-7 1,2층"
51,더베이베이커리,4.6,8건,89,부산 수영구 수영로510번길 30 1층
52,올더어글리쿠키,,(30),40,부산 부산진구 전포대로 225
53,빵장수단팥빵 서면점,2.7,6건,26,부산 부산진구 서면로 55 1층
54,롤뺑드빠리,4.5,23건,69,부산 남구 용소로19번길 7 1층
55,무슈뱅상,4.4,54건,101,부산 수영구 광남로48번길 19 1층
56,뚜레쥬르 부산중앙대로점,3.3,7건,4,부산 중구 중앙대로 145 내일투어 1층
57,프랑제리피어 부산서면점,3.2,9건,233,부산 부산진구 중앙대로 664 이랜드PEER서면 1층 101호
58,미아케이크,0.0,0건,10,부산 동구 망양로870번길 4 1층
59,프레티올라프레즐,4.6,5건,61,부산 중구 남포길 25-3
60,파리바게뜨 부산동일타워점,5.0,1건,0,부산 동구 조방로 14 동일타워 110호
61,갓구운빵집,5.0,2건,6,부산 동구 진시장로 19-9
62,달빛숲,4.6,7건,10,부산 부산진구 가야대로679번길 140-3 1층
63,보느파티쓰리,4.3,51건,143,부산 연제구 교대로 7 2층
64,이흥용과자점 사직직영점,3.7,18건,44,부산 연제구 아시아드대로 90
65,아틀리에 스미다,4.4,34건,115,부산 수영구 과정로41번길 20 메디플러스빌딩 1층 101호
66,허대빵,3.7,7건,75,부산 부산진구 서전로37번길 26 1층
67,더구움당,3.0,4건,18,부산 부산진구 서전로58번길 98
68,베티빌리지,5.0,7건,164,부산 중구 광복중앙로34번길 9 1층
69,브레드365,4.8,27건,7,부산 남구 못골로41번길 13 동원로얄듀크2차 205동 1층 101호
70,순쌀빵 남천점,3.4,18건,39,부산 수영구 광안해변로 122
71,베이글베이크샵,4.8,9건,66,부산 부산진구 동성로 61-1
72,똣,,(30),0,"부산 부산진구 동성로15번길 18 1,2층"
73,사오,5.0,5건,50,부산 부산진구 중앙대로680번가길 5 1층
74,크리미,3.9,16건,79,부산 부산진구 서전로38번길 43-13
75,페팽과자점,2.4,33건,167,부산 수영구 광서로 1
76,옵스 롯데부산본점,3.2,13건,48,부산 부산진구 가야대로 772 지하 1층
77,브레드포럼베이커리,5.0,1건,3,부산 동구 범곡북로 1-1
78,마블스퀘어,5.0,1건,6,부산 동구 고관로29번길 16
79,바닷마을과자점,4.6,45건,142,부산 수영구 광남로48번길 43 1층
80,퍼프베이커리,4.0,26건,177,부산 부산진구 동천로 56 1층 102호
81,이억녀의마카롱,3.0,5건,1,부산 부산진구 중앙대로702번길 27-5 2층
82,블루웨이브,4.7,3건,8,부산 동구 수정로 12 1층
83,신동석베이커리,4.1,7건,7,부산 부산진구 가야대로 483 1층
84,루반도르 현대백화점 부산점,0.0,0건,9,부산 동구 범일로 125 지하2층
85,파리바게뜨 서면삼정점,5.0,1건,2,부산 부산진구 중앙대로 679
86,겐츠베이커리 서면점,3.0,3건,16,부산 부산진구 가야대로 772 지하1층
87,김해덕베이커리,4.8,8건,25,부산 부산진구 새싹로 18-1 1층
