순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,쿠루미과자점,4.6,55건,210,부산 동래구 온천천로 71-1
2,옛날그빵집,4.0,20건,28,부산 동래구 명안로 38-1 1층
3,밀한줌 온천천점,4.2,22건,24,부산 동래구 온천천로471번길 7 104호
4,보느파티쓰리,4.3,51건,143,부산 연제구 교대로 7 2층
5,부부빵집,,(30),4,부산 연제구 명륜로 16 1층
6,구자윤과자점 연산점,3.5,13건,30,부산 연제구 쌍미천로156번길 1
7,달콤왕가탕후루 사직점,2.7,3건,20,부산 동래구 사직북로 4
8,더빵,3.7,3건,9,부산 동래구 차밭골로 13 온천메디칼빌딩 1층 101호
9,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
10,씨트론과자점 본점,3.4,8건,13,부산 동래구 충렬대로107번길 54 럭키아파트상가 2-32호
11,빠리쟝베이커리,3.7,15건,33,부산 동래구 충렬대로237번길 74
12,이흥용과자점 사직직영점,3.7,18건,44,부산 연제구 아시아드대로 90
13,구자윤과자점 교대점,4.4,16건,141,부산 연제구 세병로 29 1층
14,코코로브레드 사직점,2.3,7건,20,부산 동래구 사직로70번길 70
15,아덴블랑제리 온천천점,5.0,2건,46,"부산 동래구 온천천로457번길 22 1,2층"
16,씨트론과자점 4호점,3.6,8건,20,부산 동래구 중앙대로1367번길 70-24
17,브로쓰마카롱 동래점,4.9,12건,14,부산 동래구 명륜로138번길 25 1층
18,온도케이크,3.0,2건,35,부산 동래구 충렬대로181번길 15 2층
19,더라이스,4.8,6건,327,부산 동래구 동래로79번길 26 1층
20,뚜레쥬르 부산사직점,5.0,3건,2,"부산 동래구 사직로 16 사직역삼정그린코아더베스트2차 209,210동"
21,쉬프렘베이커리,2.9,7건,31,부산 동래구 온천장로119번길 1 1층
22,마이페이보릿쿠키,3.2,100건,764,부산 수영구 광남로 103
23,미모사디저트,5.0,6건,14,부산 동래구 사직북로19번길 35
24,매일이생일,5.0,3건,13,부산 동래구 온천천로471번가길 18-3 1층
25,파리바게뜨 안락서원점,3.0,2건,0,부산 동래구 안락로 22 1층
26,소사베이커리,4.3,15건,119,부산 금정구 금정로119번길 14 1층
27,아뜰리에마롱,4.2,12건,33,부산 연제구 중앙대로1134번길 15
28,다담블랑제리,4.3,10건,17,부산 동래구 온천천로339번길 27 1층
29,사랑해베이글 동래점,5.0,4건,4,부산 동래구 중앙대로1381번길 66-8 1층
30,오드컵케이크,5.0,2건,39,부산 동래구 연안로51번길 22
31,아틀리에 스미다,4.4,34건,115,부산 수영구 과정로41번길 20 메디플러스빌딩 1층 101호
32,뚜레쥬르 부산안락점,4.2,5건,0,부산 동래구 안연로 75 1층
33,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
34,레망파티쓰리,4.8,17건,59,부산 동래구 온천천로471번가길 38 1층
35,브리앙,3.4,18건,40,부산 동래구 온천장로119번길 26 1층
36,파리바게뜨 부산온천점,2.5,4건,0,부산 동래구 금강공원로 26 1층
37,카페썬번,5.0,4건,30,부산 동래구 명안로17번길 80
38,니다나과자점,5.0,6건,9,부산 동래구 명륜로 173 1층
39,파리바게뜨 동래역점,,(30),2,부산 동래구 명륜로129번길 8
40,파리바게뜨 부산명장점,4.8,6건,0,부산 동래구 서동중심로 4 1층
41,뚜레쥬르 부산동래역점,2.9,7건,0,부산 동래구 온천천로 149-1
42,화이트리에 동래래미안아이파크점,4.5,4건,0,부산 동래구 충렬대로107번길 106 1층
43,미엘,4.0,4건,1,부산 동래구 사직로70번길 38
