순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
2,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
3,노베이커노베이커스,4.1,18건,258,부산 부산진구 전포대로 227 태백빌딩 1층
4,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
5,바게트제작소 전포점,3.7,36건,146,부산 부산진구 전포대로199번길 19 예원빌딩 1층 102호
6,뚜레쥬르 부산서면직영점,4.3,10건,22,부산 부산진구 중앙대로692번길 43
7,위파티 부산본점,4.6,5건,166,부산 부산진구 냉정로 166-1 1층
8,연화제과,,(30),39,부산 부산진구 새싹로265번길 12 1층
9,덕선제과,4.7,15건,86,부산 부산진구 망양로 947-1
10,오븐의온도,4.6,46건,275,부산 부산진구 서전로38번길 43-13 101호
11,크라상점 부산서면점,4.9,17건,43,부산 부산진구 중앙대로680번길 19 1층
12,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
13,듀코비다이너,4.0,24건,276,부산 부산진구 전포대로199번길 9
14,올더어글리쿠키,,(30),40,부산 부산진구 전포대로 225
15,베베케이크하우스,4.2,20건,114,부산 부산진구 서전로58번길 93 1층
16,허대빵,3.7,7건,75,부산 부산진구 서전로37번길 26 1층
17,자이콥21,4.1,9건,162,"부산 부산진구 전포대로176번길 12-7 1,2층"
18,양정마카롱,4.0,2건,25,부산 부산진구 양지로 12 1층
19,베이글베이크샵,4.8,9건,66,부산 부산진구 동성로 61-1
20,빵장수단팥빵 서면점,2.7,6건,26,부산 부산진구 서면로 55 1층
21,세자매바른빵,4.9,7건,16,부산 부산진구 범양로120번길 6 1층
22,프랑제리피어 부산서면점,3.2,9건,233,부산 부산진구 중앙대로 664 이랜드PEER서면 1층 101호
23,다쿠아즈공장,5.0,14건,6,부산 부산진구 전포대로255번길 19 1층
24,달빛숲,4.6,7건,10,부산 부산진구 가야대로679번길 140-3 1층
25,더구움당,3.0,4건,18,부산 부산진구 서전로58번길 98
26,온다미,,(30),40,부산 부산진구 전포대로 264 2층
27,크리미,3.9,16건,79,부산 부산진구 서전로38번길 43-13
28,뚜레쥬르 부산시청점,2.4,12건,3,부산 부산진구 진연로 5
29,똣,,(30),0,"부산 부산진구 동성로15번길 18 1,2층"
30,사오,5.0,5건,50,부산 부산진구 중앙대로680번가길 5 1층
31,옵스 롯데부산본점,3.2,13건,48,부산 부산진구 가야대로 772 지하 1층
32,김해덕베이커리,4.8,8건,25,부산 부산진구 새싹로 18-1 1층
33,퍼프베이커리,4.0,26건,177,부산 부산진구 동천로 56 1층 102호
34,파리바게뜨 부산부전역점,4.3,4건,15,부산 부산진구 동성로 144 1층
35,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
36,보타닉아덴,3.9,18건,155,부산 남구 전포대로 133 IFC부산 지하1층
