순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,드래곤과자점 본점,2.7,9건,22,부산 북구 만덕1로 17 1층
2,벨렘351,3.9,15건,71,부산 강서구 대저로299번길 6 1동 1층
3,파리바게뜨 부산덕천점,2.0,4건,10,부산 북구 만덕대로 16 1층
4,서무결베이커리,5.0,5건,5,부산 북구 백양대로 1017 한성빌딩 1층
5,제과점빵,5.0,5건,43,부산 북구 구포만세길 116 1층
6,뚜레쥬르 부산덕천로터리점,4.0,5건,2,부산 북구 백양대로 1204
7,아덴블랑제리 화명점,3.5,4건,58,"부산 북구 화명대로 5 201, 202호"
8,뚜레쥬르 부산화명점,1.0,2건,1,부산 북구 금곡대로 238 롯데캐슬멤버스아파트 상가동
9,티니케이크,5.0,1건,11,부산 북구 의성로 110 1층
10,데일리팡 구포점,0.0,0건,2,부산 북구 구포시장길 6
11,파리바게뜨 부산화명점,4.0,4건,2,부산 북구 화명대로 27 윤프라자 1층
12,파리바게뜨 부산구남역점,3.5,6건,1,부산 북구 백양대로 1013-1
13,파리바게뜨 신만덕점,5.0,2건,0,부산 북구 덕천로 239-1
14,신성호베이커리,3.7,15건,8,부산 북구 화명대로 68 상가동 107호
15,파리바게뜨 화명대림점,3.8,5건,0,부산 북구 화명대로 68
16,파리바게뜨 덕천포레나점,4.0,1건,0,부산 북구 만덕대로 74 1층
17,마인드케이크,,(30),5,부산 북구 의성로 109
18,파리바게뜨 만덕삼성점,3.7,3건,1,부산 북구 만덕2로 42
19,빵잘굽는집,4.7,3건,4,부산 북구 산성로12번길 70
20,못난이꽈배기 구포시장점,4.3,3건,11,부산 북구 낙동대로1776번길 10
21,뚜레쥬르 율리역점,4.6,10건,2,부산 북구 학사로 299
22,루체,3.0,2건,13,부산 북구 만덕대로178번길 27 1층
23,파리바게뜨 화명율리점,5.0,1건,0,"부산 북구 화명신도시로 218 에이스플러스상가 102,103호"
24,구포카스테라,5.0,1건,1,부산 북구 구포시장길 74
25,파리바게뜨 화명수정점,5.0,1건,3,부산 북구 학사로17번길 4
26,동백베이커리,4.7,3건,41,부산 사상구 사상로 475-14 1층
27,베러케이크,5.0,1건,28,부산 북구 금곡대로 230 금용복합스포츠타운 2층 203호
28,자미당 만덕점,3.0,2건,3,부산 북구 덕천로 233 1층
29,요미케이크,5.0,1건,21,부산 북구 의성로 45 1층
30,와플대학 덕천캠퍼스,,(30),32,부산 북구 금곡대로8번길 87 덕천역 이즤 카운티 103동 1층 103호
31,파리바게뜨 부산금곡점,5.0,1건,0,부산 북구 효열로 214 1층
32,하르당 덕천역점,0.0,0건,6,부산 북구 백양대로 1192
33,와플대학 부산화명캠퍼스,4.7,3건,14,부산 북구 화명대로 27
34,브레드라운지,0.0,0건,7,부산 북구 기찰로 164 B동 1층
35,파리바게뜨 부산만덕역점,0.0,0건,0,부산 북구 만덕1로10번길 2 1층
36,포유베이커리,5.0,2건,1,부산 북구 낙동대로1762번길 64
37,쏘히얼,5.0,1건,7,부산 북구 금곡대로330번가길 7 지하 1층
38,우리동네 호두과자,5.0,1건,7,부산 북구 만덕대로 81
39,파리바게뜨 부산과기대점,5.0,1건,0,부산 북구 시랑로 71
40,드래곤베이커리,2.6,5건,1,부산 북구 만덕대로 88
41,복호두 화명점,0.0,0건,12,부산 북구 화명대로 27 윤프라자 105호
42,규문당과자점,4.0,1건,3,부산 북구 덕천로 306 1층
43,다예쁘다,0.0,0건,5,부산 북구 화명신도시로69번길 20 1층
44,드래곤과자점 화명카이저점,5.0,1건,3,부산 북구 금곡대로 166
45,이흥용과자점 사직직영점,3.7,18건,44,부산 연제구 아시아드대로 90
46,달곰마카롱,5.0,1건,4,부산 북구 양달로 78 상가동 2층 202호
47,테이블,5.0,1건,41,부산 북구 모분재로15번길 96
48,토이케이크,5.0,2건,87,부산 북구 덕천로 380 1층
49,코코호도 화명점,5.0,2건,0,부산 북구 화명신도시로 115 성문타워 102호
50,드래곤과자점 덕천젊음의거리점,3.1,7건,6,부산 북구 덕천1길 10
51,플레인베이커리,2.3,4건,24,부산 북구 금곡대로303번길 36 스페이스303 1층 106호
52,딜리케이크,3.5,2건,1,부산 북구 낙동대로1780번길 93
53,파티쉐 안동현,3.0,2건,0,부산 북구 화명대로 88
54,파리바게뜨 화명롯데카이저점,0.0,0건,2,부산 북구 금곡대로 166 상가동 지하1층 114호
55,러브빈마카롱,0.0,0건,2,부산 북구 덕천로 215 2층
56,자미당 화명점,5.0,1건,3,부산 북구 금곡대로 240
57,OK찹쌀꽈배기,0.0,0건,0,부산 북구 만덕대로66번길 28 1층
58,원트케이크,5.0,1건,191,부산 북구 금곡대로 166 203호
59,파리바게뜨 화명동원점,0.0,0건,0,부산 북구 금곡대로 218-1
60,피커케이크,0.0,0건,10,부산 북구 금곡대로8번길 23 3층
61,뚜레쥬르 신모라사거리점,0.0,0건,0,부산 사상구 백양대로 893
62,덕천십원빵,0.0,0건,4,부산 북구 덕천2길 30
63,빵굽는마을,0.0,0건,0,부산 북구 팽나무로 2
64,맑음케이크&디저트,0.0,0건,4,부산 북구 덕천로281번길 30
65,미니멀베이커리,5.0,2건,4,부산 북구 화명신도시로 73 1층
66,파리바게뜨 모라점,3.0,2건,0,부산 사상구 백양대로 886
67,쿠켄하임과자점,5.0,2건,0,부산 북구 덕천로234번길 13
68,와플칸 사상점,1.0,1건,11,부산 사상구 사상로 224 1층
69,파네토네,5.0,5건,3,부산 북구 금곡대로 322
70,달선빵베이커리,0.0,0건,8,부산 북구 화명신도시로 115
71,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
72,정승룡제과점,5.0,4건,1,부산 북구 효열로 213
73,원조뻥튀기,0.0,0건,0,부산 북구 백양대로 1135
74,크리스피크림 부산화명,0.0,0건,0,부산 북구 화명대로 32
75,빠아앙 부산덕천점,4.0,2건,2,부산 북구 금곡대로 지하 14 덕천역 지하상가 E24호
76,유바르베이커리,5.0,1건,2,부산 북구 백양대로 1156-2 1층
77,위파티 부산본점,4.6,5건,166,부산 부산진구 냉정로 166-1 1층
78,뚜레쥬르 부산사상터미널점,4.0,4건,4,부산 사상구 사상로 204
79,후니꿀빵 구포점,0.0,0건,1,부산 북구 낙동대로1780번길 96
80,소담단팥빵전문점,5.0,1건,4,부산 북구 금곡대로 215-1
81,연화제과,,(30),39,부산 부산진구 새싹로265번길 12 1층
82,아르토스21,5.0,2건,5,부산 북구 덕천로304번길 13 1층
83,드래곤과자점 신만덕점,0.0,0건,0,"부산 북구 덕천로276번길 60 백양산동문아파트 상가 108,109호"
84,코코호도 모라점,5.0,1건,2,부산 사상구 백양대로 916 우성아파트상가 109호
85,OK찹쌀꽈배기 구포점,0.0,0건,0,부산 북구 백양대로 1164 1층
86,국제제과점,0.0,0건,1,부산 북구 낙동대로 1772
87,셀리쿠키,5.0,1건,25,부산 북구 화명신도시로 129 골든프라자 111호
88,르츠과자점,0.0,0건,1,부산 북구 낙동북로 737
89,달베지상점,0.0,0건,9,부산 북구 화명신도시로 115 성문타워 1층
90,달콤왕가탕후루 사직점,2.7,3건,20,부산 동래구 사직북로 4
91,파리바게뜨 부산사상점,5.0,2건,5,부산 사상구 사상로 214
92,고메점빵,0.0,0건,0,부산 북구 팽나무로8번길 110
93,마들렌 과자점,4.0,4건,2,부산 북구 양달로8번길 12
94,파티쉐안동현,0.0,0건,0,부산 북구 화명신도시로 132
95,브레드파파,0.0,0건,1,부산 북구 화명대로 47
96,노낭뜨,4.3,6건,8,부산 사상구 광장로 90 리베르캐슬 1층 101호
97,바게트양 화명점,0.0,0건,0,부산 북구 금곡대로 230
98,파리바게뜨 부산괘법점,5.0,1건,1,부산 사상구 운산로 37
99,앤티앤스프레즐 NC덕천점,5.0,1건,1,부산 북구 만덕대로 23 6층
100,브라이트베이커리,5.0,4건,8,부산 강서구 공항로811번길 22 1층
101,화이트리에 화명,0.0,0건,0,부산 북구 금곡대로303번길 36 스페이스303 1층 101호
102,빅토리아베이커리가든,3.2,5건,107,부산 서구 엄광산로 33
103,오케이꽈배기,0.0,0건,0,부산 사상구 백양대로 957
104,김충호과자점,3.5,4건,2,부산 사상구 사상로250번길 1
105,본호두 화명점,4.0,1건,2,부산 북구 금곡대로 지하 311
106,코코로브레드 사직점,2.3,7건,20,부산 동래구 사직로70번길 70
107,빵장수야곱,0.0,0건,0,부산 북구 구포시장길 38 1층
108,구자윤과자점 시청점,4.0,6건,45,"부산 연제구 시청로 38 1,2층"
109,파리바게뜨 부산덕포신익점,5.0,2건,0,부산 사상구 덕상로 16 신익타운 101호
110,파리바게뜨 부산강서구청점,0.0,0건,0,부산 강서구 대저로 278
111,케이크쇼,0.0,0건,2,부산 북구 화명신도시로 234 1층
112,하람다과점,0.0,0건,0,부산 북구 효열로235번길 56
113,파티쉐안동현,0.0,0건,1,부산 북구 금곡대로303번길 22
114,씨트론과자점 본점,3.4,8건,13,부산 동래구 충렬대로107번길 54 럭키아파트상가 2-32호
115,하베스트베이커리,0.0,0건,0,부산 북구 효열로 136
116,달빛숲,4.6,7건,10,부산 부산진구 가야대로679번길 140-3 1층
117,바니바니케이크,1.0,1건,9,부산 북구 상리로36번길 68
118,드래곤과자점,0.0,0건,0,부산 북구 화명대로 31 현호타워 105호
119,더브레드 만덕점,0.0,0건,0,부산 북구 덕천로 306
120,베리노제과점,3.0,1건,0,부산 사상구 사상로 483-1
