순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
2,뚜레쥬르 부산사상터미널점,4.0,4건,4,부산 사상구 사상로 204
3,와플칸 사상점,1.0,1건,11,부산 사상구 사상로 224 1층
4,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
5,동백베이커리,4.7,3건,41,부산 사상구 사상로 475-14 1층
6,노낭뜨,4.3,6건,8,부산 사상구 광장로 90 리베르캐슬 1층 101호
7,파리바게뜨 부산사상점,5.0,2건,5,부산 사상구 사상로 214
8,파리바게뜨 부산주례점,2.8,4건,0,부산 사상구 가야대로282번길 1
9,파리바게뜨 주례유엔아이점,5.0,2건,2,부산 사상구 백양대로 372-11 1층
10,파리바게뜨 부산감전점,2.8,6건,0,부산 사상구 새벽로 166
11,소꿉당,5.0,4건,17,부산 사상구 대동로 69 1층
12,위파티 부산본점,4.6,5건,166,부산 부산진구 냉정로 166-1 1층
13,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
14,뚜레쥬르 사상구청점,5.0,2건,6,부산 사상구 학감대로 236 1층
15,파리바게뜨 부산괘법점,5.0,1건,1,부산 사상구 운산로 37
16,김충호과자점,3.5,4건,2,부산 사상구 사상로250번길 1
17,무무케이크,5.0,9건,20,부산 사상구 주례로34번길 43 1층 101호
18,빅토리아베이커리가든,3.2,5건,107,부산 서구 엄광산로 33
19,뚜레쥬르 부산엄궁점,5.0,2건,0,부산 사상구 엄궁로203번길 40 송학빌딩 1층
20,뚜레쥬르 신모라사거리점,0.0,0건,0,부산 사상구 백양대로 893
21,뚜레쥬르 부산학장본점,4.0,4건,1,부산 사상구 학감대로 111
22,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
23,파리바게뜨 모라점,3.0,2건,0,부산 사상구 백양대로 886
24,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
25,와플대학 주례캠퍼스,5.0,2건,7,부산 사상구 가야대로366번길 22
26,파리바게뜨 부산구덕우성점,4.0,4건,0,부산 사상구 학감대로 116
27,파리바게뜨 부산덕포신익점,5.0,2건,0,부산 사상구 덕상로 16 신익타운 101호
28,슈슈베어,4.3,3건,42,부산 사상구 가야대로 364
29,노베이커노베이커스,4.1,18건,258,부산 부산진구 전포대로 227 태백빌딩 1층
30,파리바게뜨 부산학장점,0.0,0건,0,부산 사상구 대동로 76
31,문브레드,0.0,0건,1,부산 사상구 사상로 38 1층
32,파밀리아과자점,3.0,3건,0,부산 사상구 대동로 98
33,비엔씨 와이즈파크점,3.7,22건,15,부산 중구 광복로39번길 6 와이즈파크 1층
34,파밀리아,0.0,0건,1,부산 사상구 대동로 101
35,파리바게뜨 주례동일점,2.0,2건,0,부산 사상구 백양대로494번길 7
36,파리바게뜨 부산엄궁점,4.3,3건,0,부산 사상구 엄궁북로 25
37,코코호도 모라점,5.0,1건,2,부산 사상구 백양대로 916 우성아파트상가 109호
38,태성당,4.1,18건,484,부산 동구 중앙대로296번길 3-5 1층
39,지니플라워케이크,5.0,1건,3,부산 사상구 동주로 27 1층
40,벨렘351,3.9,15건,71,부산 강서구 대저로299번길 6 1동 1층
41,요기 사상점,0.0,0건,8,부산 사상구 낙동대로1210번길 80 1층
42,호두파야 사상점,5.0,1건,7,부산 사상구 광장로 74 1층
43,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
44,츄러스1500 사상점,0.0,0건,25,부산 사상구 광장로81번길 70 1층
45,신동석베이커리,4.1,7건,7,부산 부산진구 가야대로 483 1층
46,바게트제작소 전포점,3.7,36건,146,부산 부산진구 전포대로199번길 19 예원빌딩 1층 102호
47,크렘드베리,0.0,0건,4,부산 사상구 광장로93번길 20 1층
48,보타닉아덴,3.9,18건,155,부산 남구 전포대로 133 IFC부산 지하1층
49,앤티앤스프레즐 부산서부버스터미널점,4.0,1건,0,부산 사상구 사상로 201 1층
50,쉐프윤찹쌀꽈배기 부산사상점,0.0,0건,4,부산 사상구 사상로250번길 17
51,케이크구나,5.0,1건,4,부산 사상구 가야대로284번길 11 2층
52,스윗제이,0.0,0건,5,부산 사상구 사상로146번길 5 1층
53,달콤한상상,4.7,3건,0,부산 사상구 사상로277번길 27 1층
54,양지제과,0.0,0건,0,부산 사상구 낙동대로 799-12
55,뚜레쥬르 부산서면직영점,4.3,10건,22,부산 부산진구 중앙대로692번길 43
56,최고다강냉이찹쌀꽈배기 본점,0.0,0건,1,부산 사상구 사상로293번길 14
57,빵정육,5.0,1건,0,부산 사상구 사상로250번길 11 1층
58,베리노제과점,3.0,1건,0,부산 사상구 사상로 483-1
59,슈메르브레드,0.0,0건,0,부산 사상구 새벽로167번길 7
60,오케이꽈배기,0.0,0건,0,부산 사상구 백양대로 957
61,라이스&브레드,5.0,1건,1,부산 사상구 백양대로 930 우성아파트상가 3동 105호
62,아미고베이커리,0.0,0건,0,부산 사상구 사상로401번길 63
63,스마일베이커리,4.5,2건,0,부산 사상구 사상로 295
64,비엔씨제과 부산역점,3.0,25건,62,부산 동구 중앙대로 206 2층
65,크림포에트리,0.0,0건,1,부산 사상구 주례로10번길 27 1층
66,연화제과,,(30),39,부산 부산진구 새싹로265번길 12 1층
67,김유일쌀빵제빵소,5.0,1건,6,부산 부산진구 가야대로 488
68,덕선제과,4.7,15건,86,부산 부산진구 망양로 947-1
69,데일리팡,4.6,5건,7,부산 부산진구 가야대로482번길 7 1층
70,추억의육거리계란빵,5.0,11건,13,부산 동구 중앙대로251번길 50 1층
71,루반도르 본점,2.7,24건,11,부산 동구 중앙대로 375-1
72,달보드레,5.0,1건,0,부산 사상구 대동로64번길 20
73,파시랑단팥빵,5.0,1건,2,부산 사상구 백양대로 927
74,파리바게뜨 가야벽산점,1.0,1건,0,부산 부산진구 엄광로 67 1층
75,DTO,0.0,0건,0,부산 사상구 가야대로 305
76,파이올린,5.0,1건,7,부산 사상구 광장로 91 1층
77,앤티앤스프레즐 이마트사상점,5.0,1건,0,부산 사상구 광장로 17 2층
78,크라상점 부산서면점,4.9,17건,43,부산 부산진구 중앙대로680번길 19 1층
79,오븐의온도,4.6,46건,275,부산 부산진구 서전로38번길 43-13 101호
80,153베이크하우스,0.0,0건,0,부산 사상구 광장로 88 1층
81,앤플라워케익,0.0,0건,8,부산 사상구 낙동대로 756 1층
82,아치베이커리,4.5,22건,188,부산 중구 중구로44번길 19-1 1층
83,달빛숲,4.6,7건,10,부산 부산진구 가야대로679번길 140-3 1층
84,옵스 롯데백화점 광복점,4.2,20건,31,부산 중구 중앙대로 2 지하 1층
85,빵장수야곱,0.0,0건,0,부산 사상구 사상로 201 1층
86,빵긋베이커리,1.0,1건,3,부산 사상구 냉정로 10
87,떡임당,5.0,2건,34,부산 사상구 양지로24번길 3 1층
88,송미당 학장점,0.0,0건,1,부산 사상구 대동로 156 1층
89,유가네제과,0.0,0건,0,부산 사상구 사상로250번길 35 1층
90,듀코비다이너,4.0,24건,276,부산 부산진구 전포대로199번길 9
91,구움집,0.0,0건,1,부산 사상구 가야대로330번길 20 1층
92,올더어글리쿠키,,(30),40,부산 부산진구 전포대로 225
93,파네토네제과점,0.0,0건,0,부산 사상구 사상로342번길 27
94,시민제과,4.3,3건,9,부산 서구 구덕로 116
95,파란풍차제과점,2.0,2건,0,부산 사상구 사상로309번길 7
96,베베케이크하우스,4.2,20건,114,부산 부산진구 서전로58번길 93 1층
97,허대빵,3.7,7건,75,부산 부산진구 서전로37번길 26 1층
98,파리바게뜨 개금백양점,3.3,4건,0,부산 부산진구 백양관문로 3 111호
99,빵장수단팥빵 서면점,2.7,6건,26,부산 부산진구 서면로 55 1층
100,비엔씨 초량점,2.3,3건,7,부산 동구 중앙대로226번길 13-3
101,몽블랑베이커리,0.0,0건,0,부산 사상구 사상로531번길 9-5
102,뚜레쥬르 부산개금백병원,0.0,0건,0,부산 부산진구 복지로 75 임재관 1층
103,파리바게뜨 가야롯데캐슬점,,(30),0,부산 부산진구 가야대로 538 롯데캐슬골드아너 3동 상가 105호
104,드래곤과자점 본점,2.7,9건,22,부산 북구 만덕1로 17 1층
105,퀸,0.0,0건,1,부산 사상구 낙동대로 756 1층
106,노크온베이커리,0.0,0건,0,부산 사상구 광장로 91
107,스위트베이킹,0.0,0건,0,부산 사상구 사상로161번길 9
108,자이콥21,4.1,9건,162,"부산 부산진구 전포대로176번길 12-7 1,2층"
109,프레티올라프레즐,4.6,5건,61,부산 중구 남포길 25-3
110,라메르,0.0,0건,0,부산 사상구 가야대로284번길 2
111,프랑제리피어 부산서면점,3.2,9건,233,부산 부산진구 중앙대로 664 이랜드PEER서면 1층 101호
112,파리바게뜨 개금엘지점,3.0,2건,0,"부산 부산진구 백양대로300번길 20 신개금엘지아파트 상가동 113, 114호"
113,파리바게뜨 부산덕천점,2.0,4건,10,부산 북구 만덕대로 16 1층
114,왕가탕후루,0.0,0건,0,부산 부산진구 당감로 56
115,모라옛날과자점,0.0,0건,0,부산 사상구 사상로 527
116,서무결베이커리,5.0,5건,5,부산 북구 백양대로 1017 한성빌딩 1층
117,부국베이커리,0.0,0건,0,부산 사상구 괘감로 104
118,뚜레쥬르 부산사상구청점,0.0,0건,0,부산 사상구 학감대로 236
119,베이글베이크샵,4.8,9건,66,부산 부산진구 동성로 61-1
120,다쿠아즈공장,5.0,14건,6,부산 부산진구 전포대로255번길 19 1층
