순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,사하단팥빵,4.6,14건,37,부산 사하구 다대로 584 1층
2,리우,4.4,12건,7,부산 사하구 사하로 204
3,또아식빵 하단점,5.0,1건,2,부산 사하구 낙동대로 482 1층
4,아비앙또과자점 장림점,3.6,5건,2,부산 사하구 다대로 269
5,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
6,카렘제과,5.0,7건,4,부산 사하구 장평로 433
7,뚜레쥬르 부산하단역점,4.3,4건,8,부산 사하구 낙동남로 1391
8,보리에브레드팩토리,2.9,9건,108,부산 사하구 다송로72번길 50
9,아비앙또카페,5.0,2건,3,부산 사하구 다송로 17
10,파리바게뜨 부산하단역점,3.3,3건,0,부산 사하구 낙동남로 1411
11,파리바게뜨 당리사거리점,5.0,1건,0,부산 사하구 괴정로 112
12,파리바게뜨 장림본동점,5.0,1건,1,부산 사하구 다대로277번길 4
13,1974쉐라미,5.0,3건,19,부산 사하구 낙동대로 238
14,뚜레쥬르 부산다대점,0.0,0건,1,부산 사하구 다대로 582 1층
15,뚜레쥬르 부산괴정역점,0.0,0건,0,부산 사하구 낙동대로 225-1
16,우리동네호두과자,5.0,3건,4,부산 사하구 낙동대로410번길 14 1층 104호
17,파리바게뜨 부산괴정대티점,0.0,0건,2,부산 사하구 낙동대로 154
18,파리바게뜨 하단오거리점,3.7,3건,2,부산 사하구 낙동대로 448 1층
19,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
20,파리바게뜨 부산감천점,5.0,2건,1,부산 사하구 감천로 46
21,뚜레쥬르 부산동아대점,3.9,7건,0,부산 사하구 낙동대로516번길 1
22,베이커리그루,4.2,5건,8,부산 사하구 낙동대로249번길 51
23,파리바게뜨 신평럭키점,4.0,1건,0,부산 사하구 장평로 307 1층
24,비엔씨 와이즈파크점,3.7,22건,15,부산 중구 광복로39번길 6 와이즈파크 1층
25,파리바게뜨 부산괴정점,5.0,2건,3,부산 사하구 사하로186번길 6
26,치즈몽땅 황금십원빵,0.0,0건,0,부산 사하구 옥천로 123
27,파리바게뜨 부산장림점,3.0,4건,1,부산 사하구 장림번영로 17
28,앙또르과자점,4.4,5건,8,부산 사하구 제석로 57-1
29,파리바게뜨 동아대점,1.0,3건,0,부산 사하구 낙동대로 552
30,마리스케이크,,(30),28,부산 사하구 동매로 11 2층
31,파리바게뜨 부산당리점,3.0,2건,1,부산 사하구 승학로 53
32,파리바게뜨 다대롯데점,3.0,2건,2,"부산 사하구 다대낙조2길 100 상가동 105,106,106-1호"
33,와플대학 동아대캠퍼스,4.7,7건,4,부산 사하구 낙동대로516번길 9
34,케이크킴,5.0,1건,6,부산 사하구 낙동대로302번길 25 1층
35,파리바게뜨 부산신평역점,3.7,3건,0,부산 사하구 하신중앙로 184 104호
36,뚜레쥬르 부산다대현대점,0.0,0건,0,부산 사하구 다대로 473 맘모스상가 1층
37,파리바게뜨 장림현대점,4.0,1건,1,부산 사하구 다대로320번길 2 1층
38,파리바게뜨 괴정동양점,1.0,1건,0,부산 사하구 장평로 437
39,박배철과자점 아트몰링 부산본점,5.0,3건,1,부산 사하구 낙동남로 1413 지하1층
40,갓식빵 낫개점,5.0,3건,3,부산 사하구 다송로72번길 64 대진프라자 1층 101호
41,꽈배기프렌즈,0.0,0건,1,부산 사하구 제석로18번길 56
42,스마일꽈배기 다대포점,0.0,0건,2,부산 사하구 다대동로 23
43,자미당 괴정점,4.0,1건,0,부산 사하구 낙동대로 191
44,파리바게뜨 가락타운점,0.0,0건,0,부산 사하구 하신번영로 207
45,파리바게뜨 감천사거리점,0.0,0건,0,부산 사하구 옥천로 3
46,앙빵베이커리 장림점,1.0,2건,2,부산 사하구 장림번영로 23 1층
47,파리바게뜨 부산몰운대점,0.0,0건,2,부산 사하구 다대낙조1길 15
48,파리바게뜨 부산사하점,0.0,0건,1,부산 사하구 낙동대로 253
49,소담해,5.0,2건,9,부산 사하구 다송로72번길 63 1층
50,최고다강냉이찹쌀꽈배기,0.0,0건,10,부산 사하구 다대로 134
51,자미당 하단점,5.0,1건,4,부산 사하구 낙동대로 430 1층
52,호밀호두 하단점,0.0,0건,1,부산 사하구 승학로 2
53,태성당,4.1,18건,484,부산 동구 중앙대로296번길 3-5 1층
54,파리바게뜨 다대본동점,0.0,0건,1,부산 사하구 다대로 557
55,파리바게뜨 부산다대삼환점,3.0,2건,2,부산 사하구 다대로429번길 23 양덕빌딩 102호
56,냐냐쿄쿄,5.0,2건,14,부산 사하구 대티로 1 1층
57,감천제빵소,5.0,1건,8,부산 사하구 감내2로 145
