순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,비엔씨 와이즈파크점,3.7,22건,15,부산 중구 광복로39번길 6 와이즈파크 1층
2,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
3,부산고등어빵,3.5,4건,41,부산 서구 충무대로82번길 17
4,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
5,빅토리아베이커리가든,3.2,5건,107,부산 서구 엄광산로 33
6,시민제과,4.3,3건,9,부산 서구 구덕로 116
7,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
8,아치베이커리,4.5,22건,188,부산 중구 중구로44번길 19-1 1층
9,옵스 롯데백화점 광복점,4.2,20건,31,부산 중구 중앙대로 2 지하 1층
10,프레티올라프레즐,4.6,5건,61,부산 중구 남포길 25-3
11,태성당,4.1,18건,484,부산 동구 중앙대로296번길 3-5 1층
12,파리바게뜨 동대신점,4.0,8건,2,부산 서구 구덕로 331-1
13,정항우케익 남포점,4.9,7건,10,부산 중구 구덕로 68 1층
14,베티빌리지,5.0,7건,164,부산 중구 광복중앙로34번길 9 1층
15,대신동마카롱,4.0,1건,7,부산 서구 구덕로322번길 23
16,이대명과 부평점,1.0,3건,3,부산 중구 광복로 2
17,모젤과자점,4.6,5건,32,부산 서구 구덕로 320 1층
18,파리바게뜨 부산남포점,4.6,5건,2,부산 중구 구덕로 38
19,과자뭉치,5.0,2건,6,부산 중구 흑교로 26
20,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
21,비엔씨제과 부산역점,3.0,25건,62,부산 동구 중앙대로 206 2층
22,뚜레쥬르 대청로점,5.0,5건,1,부산 중구 대청로 71 1층
23,메종드콘,5.0,11건,36,부산 영도구 절영로35번길 46 남항부백자연애아파트 1층 104호
24,오는정케이크,3.0,2건,39,부산 중구 중구로 64 1층
25,파리바게뜨 부산송도점,2.3,3건,0,부산 서구 충무대로 24 혜성주상복합빌딩
26,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
27,추억의육거리계란빵,5.0,11건,13,부산 동구 중앙대로251번길 50 1층
28,뚜레쥬르 부산송도점,0.0,0건,2,부산 서구 암남공원로 1
29,밀곳,5.0,4건,34,"부산 중구 부평1길 49 지하1층, 1층"
30,뚜레쥬르 부산동아대병원점,4.3,3건,1,부산 서구 대신공원로 26
31,뚜레쥬르 서대신역점,0.0,0건,0,부산 서구 대티로 178
