순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
2,마이페이보릿쿠키,3.2,100건,764,부산 수영구 광남로 103
3,아틀리에 스미다,4.4,34건,115,부산 수영구 과정로41번길 20 메디플러스빌딩 1층 101호
4,메트르아티정,3.6,44건,92,부산 수영구 남천동로22번길 21
5,더베이베이커리,4.6,8건,89,부산 수영구 수영로510번길 30 1층
6,페팽과자점,2.4,33건,167,부산 수영구 광서로 1
7,무슈뱅상,4.4,54건,101,부산 수영구 광남로48번길 19 1층
8,순쌀빵 남천점,3.4,18건,39,부산 수영구 광안해변로 122
9,바닷마을과자점,4.6,45건,142,부산 수영구 광남로48번길 43 1층
10,구자윤과자점,2.8,26건,23,부산 수영구 수영로705번길 15 1층
11,홍미당 부산광안리점,2.5,8건,18,부산 수영구 광안해변로 225
12,고래당,4.9,9건,55,부산 수영구 광안로41번길 12
13,두소녀,,(30),73,부산 수영구 수영로594번길 72 1층
14,브랑제리구젠,4.7,21건,28,부산 수영구 남천바다로 8 1층
15,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
16,옵스 마린시티점,3.7,41건,64,부산 해운대구 마린시티1로 167 1층
17,대단한탕후루 부산광안점,5.0,2건,48,부산 수영구 광안로 56
18,옵스 해운대점,3.3,171건,416,부산 해운대구 중동1로 31
19,서희와제과 광안점,4.5,6건,76,부산 수영구 광남로 89 1층
20,겐츠베이커리 본점,3.4,19건,45,부산 남구 분포로 111 LG메트로시티주1상가 1층
21,롤뺑드빠리,4.5,23건,69,부산 남구 용소로19번길 7 1층
22,소원빵집,4.5,13건,11,부산 수영구 남천바다로9번길 26 금련빌딩 1층
23,럭키베이커리,4.2,13건,115,부산 수영구 무학로49번길 71
24,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
25,시엘로,3.6,8건,12,부산 수영구 남천동로 19
26,김종인베이커리,2.0,5건,2,부산 수영구 광안로 51
27,플라잉스콘,2.3,46건,433,부산 해운대구 마린시티2로 33 해운대두산위브더제니스상가 1층 125호
28,뚜주루과자점,3.3,7건,2,부산 수영구 광일로 22
29,모구모구과자점 광안리점,4.8,13건,64,부산 수영구 광안로49번길 27 예지빌 1층
30,아셀블랑제리,4.9,22건,15,부산 수영구 수영로652번길 6 정원센텀뷰 1층 101호
31,사랑해베이글 남천점,5.0,1건,33,부산 수영구 남천동로24번길 12
32,금지락마카롱,4.0,3건,1,부산 수영구 수영로587번길 39 정원부르네오 1층
33,뚜레쥬르 부산광안점,5.0,3건,4,부산 수영구 광안해변로 282 1층
34,구월의마카롱,4.4,28건,85,부산 남구 수영로334번길 9 1층
35,스위스제과점,4.2,12건,10,부산 수영구 광남로 45 1층
36,뚜레쥬르 부산대남교차로점,3.0,2건,2,부산 수영구 수영로 381
37,파리바게뜨 부산광안점,2.5,14건,2,부산 수영구 수영로 599-2
38,빵고래,4.5,10건,26,부산 수영구 연수로275번길 31 1층
39,이대명과 남천점,5.0,1건,3,부산 수영구 남천동로108번길 34
40,뚜레쥬르 부산남천점,3.0,2건,2,부산 수영구 수영로 465 1층
41,난이케이크,2.7,3건,54,부산 수영구 광남로 166 1층
42,파리바게뜨 수영역점,4.3,4건,1,부산 수영구 수영로666번길 6 1층
43,마루베이글,4.7,9건,30,부산 수영구 무학로49번길 86 1층
44,빵은 이지비아 남천점,3.0,2건,4,부산 수영구 수영로 386 1층
45,꽃피는4월밀익는5월,3.6,52건,168,부산 수영구 망미번영로70번길 16 1층
46,옥토가,5.0,9건,9,부산 수영구 수영로611번길 39-4
47,케이크는매일먹어도맛있어,5.0,2건,3,부산 수영구 광안해변로277번길 61 1층
48,파리바게뜨 수영구청점,2.3,6건,1,부산 수영구 광남로 48
49,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
50,빵아포제,5.0,10건,39,부산 수영구 남천동로108번길 52 남천상가빌딩 1층
