순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,구자윤과자점 연산점,3.5,13건,30,부산 연제구 쌍미천로156번길 1
2,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
3,보느파티쓰리,4.3,51건,143,부산 연제구 교대로 7 2층
4,이흥용과자점 사직직영점,3.7,18건,44,부산 연제구 아시아드대로 90
5,부부빵집,,(30),4,부산 연제구 명륜로 16 1층
6,구자윤과자점 교대점,4.4,16건,141,부산 연제구 세병로 29 1층
7,아뜰리에마롱,4.2,12건,33,부산 연제구 중앙대로1134번길 15
8,구자윤과자점 시청점,4.0,6건,45,"부산 연제구 시청로 38 1,2층"
9,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
10,노베이커노베이커스,4.1,18건,258,부산 부산진구 전포대로 227 태백빌딩 1층
11,마이페이보릿쿠키,3.2,100건,764,부산 수영구 광남로 103
12,소소명과,4.0,3건,17,부산 연제구 법원남로15번길 12 대한타워빌딩
13,아틀리에 스미다,4.4,34건,115,부산 수영구 과정로41번길 20 메디플러스빌딩 1층 101호
14,옛날그빵집,4.0,20건,28,부산 동래구 명안로 38-1 1층
15,장현호 과자점,4.8,10건,5,부산 연제구 연수로 125
16,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
17,쿠루미과자점,4.6,55건,210,부산 동래구 온천천로 71-1
18,옵스 해운대점,3.3,171건,416,부산 해운대구 중동1로 31
19,밀한줌 온천천점,4.2,22건,24,부산 동래구 온천천로471번길 7 104호
20,파리바게뜨 부산시청점,2.9,9건,2,부산 연제구 중앙대로 1036
21,페팽과자점,2.4,33건,167,부산 수영구 광서로 1
22,오감베이커리,3.6,10건,29,부산 연제구 안연로 19
23,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
24,아뜰리에마롱,4.3,6건,92,부산 연제구 월드컵대로73번길 84 1층
