순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,메종드콘,5.0,11건,36,부산 영도구 절영로35번길 46 남항부백자연애아파트 1층 104호
2,브레드밋파리,4.0,2건,185,부산 영도구 청학로37번길 22
3,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
4,하이까눌레,4.4,15건,108,부산 영도구 절영로 214 1층
5,프로방스베이커리,5.0,1건,1,부산 영도구 하나길 449
6,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
7,르봉B,5.0,11건,57,부산 영도구 태종로99번길 39
8,뚜레쥬르 영도미라주점,4.3,3건,1,부산 영도구 동삼로 89 1층
9,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
10,파리바게뜨 영도대교점,4.0,2건,1,부산 영도구 태종로 99
11,파리바게뜨 영도청학시장점,4.5,2건,0,부산 영도구 태종로 326-1
12,파리바게뜨 영도동삼점,3.0,1건,0,부산 영도구 동삼로 62
13,비엔씨 와이즈파크점,3.7,22건,15,부산 중구 광복로39번길 6 와이즈파크 1층
14,전성호쌀빵제빵소,5.0,2건,6,부산 영도구 일산봉로 31
15,파리바게뜨 영도남항점,4.0,3건,1,부산 영도구 남항로 40-1
16,파리바게뜨 영도동삼주공점,3.0,2건,0,부산 영도구 상리로 33 1층
17,데일리팡 영도점,5.0,1건,0,부산 영도구 태종로100번길 3 1층
18,아웃스턴트,5.0,6건,0,부산 영도구 동삼로29번길 5 삼창파크타운 상가 105호
19,베이커리카페라벨 라발스호텔점,0.0,0건,0,부산 영도구 봉래나루로 82 라발스호텔 1층
20,겐츠베이커리 본점,3.4,19건,45,부산 남구 분포로 111 LG메트로시티주1상가 1층
21,자미당 영도점,5.0,2건,0,부산 영도구 절영로13번길 47-1 1층
22,태성당,4.1,18건,484,부산 동구 중앙대로296번길 3-5 1층
23,옵스 롯데백화점 광복점,4.2,20건,31,부산 중구 중앙대로 2 지하 1층
24,크라상점 부산영도점,0.0,0건,3,부산 영도구 태종로 125 1층
25,윤호손수호두파이 부산점,,(30),5,부산 영도구 절영로 111 1층
26,파리바게뜨 부산중앙역점,0.0,0건,0,부산 영도구 조내기로 38
27,롤뺑드빠리,4.5,23건,69,부산 남구 용소로19번길 7 1층
28,부산고등어빵,3.5,4건,41,부산 서구 충무대로82번길 17
29,원더풀 찹쌀 꽈배기 영도점,0.0,0건,1,부산 영도구 태종로73번길 22-1
30,비엔씨제과 부산역점,3.0,25건,62,부산 동구 중앙대로 206 2층
31,빠나미베이커리,0.0,0건,0,부산 영도구 절영로 54
32,피아크브레드팩토리,4.0,1건,0,부산 영도구 해양로195번길 180 1층
33,빵내음풍기는베이커리,0.0,0건,2,부산 영도구 남항로41번길 42
34,투고베이커리,0.0,0건,0,부산 영도구 태종로100번길 3
35,추억의육거리계란빵,5.0,11건,13,부산 동구 중앙대로251번길 50 1층
36,ebb,5.0,1건,2,부산 영도구 동삼오션로 58 시타딘커넥트 호텔 244호
37,아치베이커리,4.5,22건,188,부산 중구 중구로44번길 19-1 1층
38,루반도르 본점,2.7,24건,11,부산 동구 중앙대로 375-1
39,탑베이커리,0.0,0건,0,부산 영도구 절영로 531
40,프레티올라프레즐,4.6,5건,61,부산 중구 남포길 25-3
41,시민제과,4.3,3건,9,부산 서구 구덕로 116
42,비엔씨 초량점,2.3,3건,7,부산 동구 중앙대로226번길 13-3
43,브레드365,4.8,27건,7,부산 남구 못골로41번길 13 동원로얄듀크2차 205동 1층 101호
44,베티빌리지,5.0,7건,164,부산 중구 광복중앙로34번길 9 1층
45,빵제이,5.0,3건,1,부산 영도구 태종로 157-1
46,덕선제과,4.7,15건,86,부산 부산진구 망양로 947-1
47,원베이커리,0.0,0건,1,부산 영도구 절영로43번길 65
48,영국빵집,0.0,0건,0,부산 영도구 절영로43번길 65
49,정항우케익 남포점,4.9,7건,10,부산 중구 구덕로 68 1층
50,또로로케이크,0.0,0건,6,부산 영도구 하나길 788
51,파리바게뜨 부산남포점,4.6,5건,2,부산 중구 구덕로 38
52,뚜레쥬르 부산중앙대로점,3.3,7건,4,부산 중구 중앙대로 145 내일투어 1층
53,러브썸케이크,0.0,0건,0,부산 영도구 상리로 63-4 동삼2주공상가 208호
54,포트루,0.0,0건,0,부산 영도구 남항로41번길 18-20
55,태성당,3.6,9건,2,부산 동구 중앙대로 206 2층
56,이대명과 부평점,1.0,3건,3,부산 중구 광복로 2
57,페라슈발,0.0,0건,0,부산 영도구 중리로 46-1
58,파리바게뜨 경성대점,2.0,2건,6,부산 남구 용소로 6
59,레이지버터,4.0,1건,16,부산 중구 해관로 14
60,메츠과자점,3.6,25건,56,부산 남구 수영로266번길 46 1층
61,과자뭉치,5.0,2건,6,부산 중구 흑교로 26
62,뚜레쥬르 대청로점,5.0,5건,1,부산 중구 대청로 71 1층
63,파리바게뜨 부산광복롯데점,4.8,6건,2,부산 중구 중앙대로 37
64,옵스 LG메트로시티점,3.3,3건,9,부산 남구 분포로 113 메트로시티상가 1005동 111호
65,고조미 대만카스테라,2.7,6건,6,부산 남구 용호로 183 1층
66,오는정케이크,3.0,2건,39,부산 중구 중구로 64 1층
67,빵의나라,3.4,10건,11,부산 동구 중앙대로221번길 22
68,케이크랜드,3.5,2건,12,부산 동구 초량상로 126
69,어뮤즈베이커리,0.0,0건,4,부산 영도구 남항로 20-1 1층
70,오뜨,4.6,9건,6,부산 남구 유엔평화로13번길 66
71,식스브레드,4.7,9건,44,부산 남구 신선로 566 GS자이아파트 상가 123호
72,파리바게뜨 중앙반도점,4.7,3건,0,부산 중구 해관로 60
73,식후빵,5.0,2건,6,부산 중구 중구로24번길 21-2 1층
74,밀곳,5.0,4건,34,"부산 중구 부평1길 49 지하1층, 1층"
75,낙타베이커리,4.7,23건,20,부산 남구 석포로86번길 80 1층
76,뚜레쥬르 부산진역점,2.8,6건,0,부산 동구 중앙대로 373
77,파리크라상,0.0,0건,0,부산 동구 중앙대로 206 2층
78,파리바게뜨 부산역점,2.3,6건,7,부산 동구 중앙대로 205 1층
79,아덴블랑제리 초량점,5.0,1건,71,부산 동구 홍곡중로 2 1층 1호
80,송이앙금플라워케이크,0.0,0건,0,부산 영도구 남항로9번길 52
81,라온베이커리,3.2,6건,20,부산 남구 수영로 201
82,뚜레쥬르 부산용당점,3.5,2건,1,부산 남구 유엔평화로 143
