순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,옵스 해운대점,3.3,171건,416,부산 해운대구 중동1로 31
2,옵스 마린시티점,3.7,41건,64,부산 해운대구 마린시티1로 167 1층
3,플라잉스콘,2.3,46건,433,부산 해운대구 마린시티2로 33 해운대두산위브더제니스상가 1층 125호
4,시노베,3.2,29건,119,부산 해운대구 구남로29번길 35 1층
5,옵스 신도시점,3.4,9건,29,부산 해운대구 좌동순환로 237 세실빌딩
6,비엔씨 해운대중동점,4.1,12건,4,부산 해운대구 좌동순환로433번길 29-1
7,빵다무르,4.2,13건,69,"부산 해운대구 해운대로781번길 16 신화하니엘타워 1층 101,102,108호"
8,빠리당,4.7,27건,66,부산 해운대구 센텀북대로 60 센텀아이에스타워 106호
9,데일리팡 해운대본점,4.4,26건,15,부산 해운대구 중동1로 38 1층
10,도우앤로프,4.6,10건,99,부산 해운대구 세실로 80 스위첸상가 112호
11,웨스틴조선부산 조선델리,4.3,11건,27,부산 해운대구 동백로 67 웨스틴조선 부산 1층
12,모루과자점,3.5,16건,17,부산 해운대구 우동1로38번길 11 우일맨션1층 127호
13,이흥용과자점 신세계백화점 센텀시티직영점,4.3,16건,12,부산 해운대구 센텀남대로 35 지하 1층
14,뉴문(NEWMOON),4.7,18건,12,부산 해운대구 양운로 56
15,파리바게뜨 해운대역점,1.6,5건,1,부산 해운대구 중동1로 21-1
16,타르트훌리건,4.2,20건,68,부산 해운대구 해운대해변로 302 대림맨숀 103호
17,이대명과 해운대점,4.8,9건,11,부산 해운대구 중동1로 15 1층
18,부산샌드,0.0,0건,138,부산 해운대구 우동1로 13-29
19,곤트란쉐리에 부산해운대점,3.6,11건,5,부산 해운대구 마린시티2로 38 아이파크상가 1층 101호
20,해운대달맞이빵,3.5,2건,49,부산 해운대구 해운대로 1196 1층
21,고메빵집,4.1,7건,35,부산 해운대구 우동1로 66 1층
22,뚜레쥬르 부산센텀점,2.0,4건,7,부산 해운대구 센텀중앙로 55 동서대학교 센텀캠퍼스 1층
23,뚜레쥬르 부산해운대마린점,3.0,1건,3,부산 해운대구 마린시티3로 37 1층
24,베이크마마,4.8,4건,29,부산 해운대구 해운대로483번길 6
25,김정욱쌀빵,4.9,8건,106,부산 해운대구 마린시티3로 46 상가동116호
26,화이트리에 마린시티점,5.0,4건,15,부산 해운대구 마린시티2로 33
27,뚜레쥬르 부산장산역점,4.5,8건,18,"부산 해운대구 해운대로 814 세종월드 120호,121호"
28,빠뜨 아 슈,4.7,14건,51,부산 해운대구 우동1로85번길 8
29,도현당,2.5,6건,9,부산 해운대구 해운대해변로 257 하버타운 1층
30,복호두 해운대1호점,,(30),44,부산 해운대구 좌동로 88 울트라타워 103호
31,마노앤디저트,5.0,8건,14,부산 해운대구 우동1로38번길 11 우일맨션 106호
32,한케이크,5.0,3건,33,부산 해운대구 대천로 225 두산2차아파트 상가 1층 101호
33,라이스베이커리,5.0,10건,11,부산 해운대구 세실로 87 영진파스타 1층 101호
34,부파리스,4.2,6건,10,부산 해운대구 세실로 80 105호
35,파리바게뜨 부산송정점,2.0,1건,0,부산 해운대구 해운대로 1108
36,파리바게뜨 해운대장산점,3.0,2건,6,부산 해운대구 해운대로 814 세종월드프라자 A동 1층
37,더그랜드카페,3.3,4건,14,부산 해운대구 동백로 52 더베이101 2층
38,동백아가씨,4.8,20건,64,부산 해운대구 우동1로 37 4호
39,비오비 아티성블렁제리 빵빵빵,4.0,23건,72,부산 해운대구 마린시티1로 91 해운대두산위브포세이돈 102동 102호
40,파리바게뜨 센텀시티점,2.9,11건,0,부산 해운대구 센텀동로 35 센텀SH밸리 1동 104호
41,로라스베이글,3.8,10건,32,부산 해운대구 우동1로20번가길 27-4
42,캐버린하우스,3.9,8건,100,부산 해운대구 우동1로38번가길 14-5 1층
43,파리바게뜨 해운대센텀점,5.0,1건,5,"부산 해운대구 센텀중앙로 142 더샵센텀파크2차아파트 상가동 104,105,116호"
44,모루비,4.0,3건,19,부산 해운대구 우동1로38번길 11 1층 127호
45,뚜레쥬르 해운대수비교차로점,3.7,6건,0,부산 해운대구 해운대로 407 1층
46,뚜레쥬르 부산재송점,2.0,4건,2,부산 해운대구 재반로125번길 2 1층
47,청춘당찹쌀꽈배기 해운대점,4.0,2건,2,부산 해운대구 좌동순환로 416
48,바다샌드,0.0,0건,0,부산 해운대구 청사포로128번길 22
49,뚜레쥬르 해운대중동점,3.8,4건,1,부산 해운대구 좌동순환로 10 1층
50,빠리지엥베이커리,5.0,6건,1,부산 해운대구 우동2로 58
51,뚜레쥬르 부산반여점,2.1,11건,4,부산 해운대구 선수촌로 64
